B02,B03,B04,B05,B06,B07.,B08,B8A,B11,B12,SCL,NDVI,x,y,target
252,408,260,671,1768,2045,2264,2249,1148,614,4,0,528776.112,6807899.028,"296,1390265"
193,316,173,497,1499,1829,1826,1981,921,455,4,0,531689.014,6819632.406,"490,7603995"
209,368,186,599,1616,1861,2008,2005,944,459,4,0,531482.346,6819420.105,"308,2488008"
225,406,224,668,1845,2174,2228,2278,1064,533,4,0,531865.148,6819644.454,"264,9996068"
217,414,201,576,1460,1687,2082,1909,887,424,4,0,531480.424,6819633.315,"168,5145868"
199,361,181,552,1601,1985,2250,2163,923,425,4,0,531486.899,6819225.361,"343,8704097"
151,249,122,446,1860,2574,2350,2790,930,366,4,0,532209.287,6817519.401,"388,8495714"
214,320,162,618,2643,3404,3508,3667,1504,619,4,0,532008.605,6817324.147,"85,712039"
208,389,169,644,2287,2813,3100,2967,1189,496,4,0,532200.696,6817113.627,"349,3748526"
184,271,131,523,2360,3073,3124,3324,1224,492,4,0,532011.366,6817507.913,"391,8376976"
217,392,181,721,2689,3384,3508,3691,1586,667,4,0,532004.515,6817105.008,"238,1064717"
161,260,146,427,1331,1606,1656,1784,815,367,4,0,532403.852,6817100.051,"353,2279626"
205,414,156,712,2750,3315,3548,3667,1553,652,4,0,524092.594,6821210.819,"141,2282771"
206,401,187,655,2726,3434,3664,3699,1513,614,4,0,523884.4,6821041.52,"223,0085712"
214,404,182,649,2381,2915,3298,3227,1280,530,4,0,524091.689,6820811.884,"189,549422"
218,453,197,737,2713,3356,3872,3524,1461,623,4,0,524298.761,6821018.946,"248,6828655"
222,362,162,617,2594,3231,2966,3421,1257,542,4,0,524308.219,6821213.35,"241,0552803"
192,419,168,726,2681,3382,3464,3500,1495,623,4,0,523895.697,6821209.299,"233,1524731"
216,392,181,681,2908,3582,3806,3887,1574,623,4,0,523897.578,6820829.55,"91,64897381"
206,395,158,628,2673,3384,3530,3586,1338,561,4,0,524300.501,6820811.435,"50,68019187"
200,348,184,562,1891,2455,2568,2701,1266,560,4,0,527923.807,6806187.074,"501,7299678"
230,373,198,629,1950,2334,2598,2472,1109,509,4,0,527738.817,6805993.199,"211,7637808"
201,359,160,597,1993,2400,2482,2467,1148,524,4,0,527936.211,6805770.771,"583,0777699"
167,297,154,528,1841,2299,2520,2517,1001,450,4,0,528145.246,6805980.743,"769,7963356"
244,384,229,526,1871,2236,2590,2301,1174,563,4,0,528158.265,6806181.796,"299,4023748"
205,368,180,573,1889,2237,2370,2436,1172,540,4,0,527738.611,6806171.486,"513,3286152"
192,346,160,652,1946,2300,2398,2514,1189,561,4,0,527736.493,6805777.45,"116,9300936"
241,370,219,601,1874,2297,2314,2398,1126,576,4,0,528137.66,6805771.523,"509,3968703"
173,280,144,532,2057,2603,2228,2712,1064,443,4,0,523662.253,6809394.808,"321,223559"
223,364,194,512,1895,2278,2812,2466,1073,505,4,0,523461.167,6809205.693,"399,4259652"
259,361,215,589,1943,2478,2786,2695,1255,554,4,0,523644.015,6808989.195,"986,8286546"
184,255,142,492,1713,2017,1870,2220,938,428,4,0,523851.062,6809197.676,"492,7655894"
199,338,180,473,1398,1709,1628,1764,825,394,4,0,523851.482,6809403.498,"211,8424157"
178,338,164,494,1842,2207,2566,2428,965,426,4,0,523456.87,6809410.955,"1110,403397"
190,308,178,520,1890,2414,2702,2531,1053,470,4,0,523452.09,6808992.832,"853,0313753"
188,272,160,472,1528,1977,1892,2028,953,446,4,0,523857.017,6808997.763,"831,6033656"
218,444,209,735,2895,3633,4008,4019,1682,684,4,0,529166.863,6814242.04,"161,3194936"
211,420,204,722,2734,3382,3530,3613,1608,677,4,0,528986.714,6814034.647,"273,334906"
227,393,187,687,2898,3717,3962,3996,1587,654,4,0,529178.879,6813839.174,"238,1064717"
207,352,156,613,2712,3437,3726,3640,1490,626,4,0,529380.781,6814044.087,"308,7992451"
194,336,148,658,2757,3486,3582,3824,1489,617,4,0,529381.761,6814236.741,"371,4712589"
223,404,186,697,2820,3527,3820,3880,1674,682,4,0,528983.241,6814235.51,"280,4906818"
212,437,185,693,2686,3222,3592,3498,1474,622,4,0,528983.944,6813844.683,"331,6033656"
198,350,169,642,2363,2884,3008,3020,1154,506,4,0,529380.955,6813833.426,"321,0269718"
210,388,193,615,2245,2701,3098,2905,1213,532,4,0,524420.245,6819954.535,"183,4159"
205,388,172,627,1985,2260,2256,2463,1136,541,4,0,524432.418,6819527.504,"112,9197138"
187,322,153,507,1541,1944,2358,2109,1066,470,4,0,524218.137,6819556.678,"434,8509869"
227,369,182,629,2791,3635,3816,3915,1466,596,4,0,524623.394,6819552.721,"245,8913266"
255,402,212,647,2299,2923,3306,3328,1382,587,4,0,513325.519,6816776.889,"338,1300621"
222,382,203,675,2855,3497,3806,3813,1593,666,4,0,513144.735,6816598.792,"461,5082173"
233,377,205,604,2337,2892,2934,3020,1343,589,4,0,513341.088,6816401.31,"480,5378627"
215,305,185,541,2104,2659,2294,2653,1141,544,4,0,513533.566,6816601.144,"198,7890226"
215,318,190,497,1480,1871,1908,2021,918,445,4,0,513541.16,6816787.859,"887,0016513"
231,328,184,535,2030,2488,2424,2691,1211,541,4,0,513136.414,6816795.425,"901,8243296"
195,294,165,565,1969,2396,2284,2621,1158,498,4,0,513139.821,6816393.37,"380,671542"
208,350,174,558,2023,2539,3046,2946,1163,503,4,0,513550.94,6816406.53,"405,0483605"
231,365,224,626,1731,2049,2074,2212,1111,561,4,0,531319.402,6812306.149,"89,76173626"
177,287,161,475,1454,1754,1940,1852,823,381,4,0,531127.486,6812096.237,"648,8951797"
233,361,181,609,1832,2169,2280,2318,1064,525,4,0,531323.131,6811901.964,"137,6897067"
238,382,223,607,1479,1747,1880,1826,971,493,4,0,531521.248,6812094.909,"609,8922702"
230,372,220,645,1600,1874,1886,1979,1003,529,4,0,531522.163,6812307.39,"356,9238028"
219,382,230,623,1714,2002,2122,2149,1039,525,4,0,531118.283,6812298.819,"136,4315483"
211,357,165,546,1735,2046,2368,2251,1012,461,4,0,531138.833,6811934.637,"137,0606275"
233,472,225,851,2240,2633,2524,2788,1356,674,4,0,531514.851,6811901.015,"125,8158371"
208,442,165,770,2965,3605,3648,3911,1605,712,4,0,530139.63,6819018.254,"225,9180624"
244,415,234,665,1781,2063,2100,2231,1281,597,4,0,529964.766,6818791.445,"110,403397"
186,341,159,652,2664,3408,3514,3521,1496,622,4,0,530161.228,6818594.522,"301,2896123"
196,373,159,600,2121,2605,2654,2761,986,451,4,0,530365.571,6818779.529,"164,3469372"
174,348,157,622,2289,2807,2696,3039,1181,486,4,0,530364.399,6818988.51,"208,6970197"
192,365,172,602,2276,2788,2946,2932,1264,525,4,0,529956.395,6818996.607,"228,5130141"
191,321,171,604,2193,2951,2766,3125,1194,496,4,0,529960.784,6818598.201,"282,6924589"
183,306,154,592,2277,2664,2620,2905,1136,488,4,0,530346.416,6818589.014,"145,9070536"
210,378,159,672,2852,3652,3848,3972,1470,597,4,0,527930.635,6821818.782,"63,96948966"
195,338,149,626,2610,3259,3398,3587,1302,529,4,0,527739.114,6821616.749,"121,5695526"
198,399,172,725,2888,3595,3688,3843,1603,673,4,0,527941.777,6821412.739,"86,49838798"
202,414,166,681,2594,3291,3498,3544,1393,591,4,0,528144.099,6821623.95,"83,66753165"
196,360,157,641,3119,4028,4264,4392,1624,657,4,0,528134.92,6821832.411,"166,9418888"
202,413,184,646,2123,2645,2868,2789,1123,492,4,0,527735.674,6821814.903,"35,62160887"
203,418,176,650,2369,3039,3770,3279,1263,508,4,0,527743.147,6821416.146,"138,8299127"
206,439,182,734,2785,3458,3818,3800,1524,625,4,0,528137.791,6821415.418,"33,02665723"
210,378,186,556,1645,1940,2106,2118,968,450,4,0,534204.204,6811709.192,"226,3112369"
208,360,181,663,2894,3731,3912,4065,1542,629,4,0,533988.028,6811507.969,"201,5019266"
189,362,178,634,2646,3356,3458,3662,1488,627,4,0,534192.241,6811299.228,"362,4675631"
182,301,154,529,2122,2652,2084,2722,1419,673,4,0,533981.58,6811700.273,"271,840843"
197,381,167,656,2682,3415,3592,3657,1480,608,4,0,534005.057,6811292.899,"295,6672171"
225,388,167,633,2682,3465,3676,3636,1639,706,4,0,526096.825,6818254.128,"116,2616969"
208,367,172,682,2806,3548,3592,3763,1598,675,4,0,525893.249,6818052.435,"123,0636156"
186,364,162,628,2649,3304,3406,3641,1387,588,4,0,526097.759,6817858.043,"316,9379571"
204,365,166,643,2423,2980,3352,3239,1264,530,4,0,526298.646,6818055.557,"285,7592199"
229,395,188,659,2533,3058,3260,3376,1517,658,4,0,526301.705,6818255.65,"200,4796729"
232,414,195,685,2896,3593,3850,3899,1627,683,4,0,525899.004,6818260.567,"192,3016435"
190,390,163,629,2570,3251,3760,3511,1379,563,4,0,525901.455,6817859.691,"420,8932924"
221,404,189,701,2321,2793,2866,3047,1172,516,4,0,526299.291,6817857.433,"206,4559251"
214,342,172,509,1540,1863,2070,2029,835,375,4,0,518388.308,6822077.464,"290,320044"
227,346,201,571,1867,2304,2226,2511,1060,486,4,0,518181.805,6821853.195,"596,2884328"
206,341,168,492,1492,1830,1910,1960,820,384,4,0,518378.522,6821675.379,"373,8303059"
222,377,209,542,1666,2011,2202,2207,984,451,4,0,518583.755,6821867.854,"310,6864827"
206,334,176,557,1503,1940,1820,2076,898,424,4,0,518576.993,6822064.757,"326,5707321"
211,318,171,548,1772,2067,2292,2270,992,456,4,0,518178.994,6821675.968,"428,7960997"
217,333,188,563,1527,1894,1622,2015,1035,498,4,0,518582.907,6821681.158,"220,4136196"
196,348,171,655,2520,3179,3436,3453,1404,585,4,0,533286.465,6810440.095,"228,0805221"
201,368,180,606,2256,2868,3152,3022,1373,585,4,0,533091.06,6810255.608,"394,7471888"
212,391,174,691,2723,3342,3724,3574,1570,650,4,0,533278.534,6810051.388,"100,6919871"
217,334,198,569,2176,2799,2896,3049,1395,609,4,0,533489.936,6810265.778,"245,6947393"
230,380,224,656,2388,2920,3030,3164,1533,695,4,0,533489.786,6810451.313,"226,7044114"
220,378,170,649,2541,3236,3614,3533,1523,634,4,0,533079.862,6810427.446,"171,6599827"
218,372,199,597,2096,2686,2988,2919,1319,589,4,0,533089.866,6810035.419,"328,7725092"
186,340,175,636,2515,3134,3176,3363,1427,625,4,0,533481.789,6810048.968,"356,0981364"
201,364,151,675,2456,3149,3116,3383,1351,561,4,0,528013.961,6817628.464,"360,7375953"
205,396,183,683,2843,3656,4014,3905,1558,639,4,0,527807.837,6817428.4,"308,3274357"
226,383,230,607,1685,1964,2052,2114,979,479,4,0,528001.248,6817230.988,"100,2988126"
194,432,192,709,2467,2942,3266,3162,1294,562,4,0,528198.326,6817419.643,"82,52732563"
196,368,179,584,1792,2251,2508,2362,976,423,4,0,528204.353,6817617.416,"185,4997248"
220,400,200,684,2815,3465,3928,3738,1442,595,4,0,527801.413,6817631.822,"246,5597232"
217,393,177,703,2837,3554,3764,3751,1568,646,4,0,527799.213,6817225.167,"233,0345207"
211,401,180,667,2467,2900,3292,3153,1202,514,4,0,528199.992,6817241.846,"303,6093418"
229,436,181,694,2698,3196,3440,3483,1381,598,4,0,529510.928,6819844.107,"175,1985531"
206,321,144,538,1677,2038,2026,2142,912,404,4,0,529303.27,6819647.573,"303,5307069"
212,373,171,648,2396,2960,3340,3273,1257,546,4,0,529512.084,6819432.144,"250,9239601"
187,412,195,764,2280,2739,2966,2907,1205,527,4,0,529700.569,6819830.25,"102,8151294"
215,383,183,670,2884,3581,3696,3812,1589,657,4,0,529314.673,6819846.536,"110,4820319"
202,336,161,594,1894,2301,2426,2475,971,392,4,0,529281.575,6819461.377,"263,6234961"
233,442,218,705,1928,2244,2276,2437,1101,524,4,0,529710.416,6819440.373,"167,6496029"
241,457,190,679,2605,3015,3762,3434,1337,566,4,0,524353.994,6818674.793,"123,8499646"
225,326,164,518,1828,2228,2494,2348,1044,456,4,0,524145.157,6818457.893,"549,1861288"
185,300,162,486,1341,1589,1724,1714,869,423,4,0,524358.061,6818270.409,"233,938822"
242,447,216,708,2289,2652,2846,2814,1237,558,4,0,524555.906,6818463.723,"38,92427459"
225,444,171,758,2923,3379,3596,3741,1541,653,4,0,524551.395,6818669.155,"56,53849178"
209,354,191,580,2316,2813,2798,3120,1480,653,4,0,524148.224,6818669.433,"189,5887395"
190,265,160,434,1442,1699,1426,1836,952,457,4,0,524172.914,6818266.698,0
193,380,166,627,2109,2463,2558,2684,1075,474,4,0,524561.465,6818271.289,"220,6495243"
236,357,222,544,1939,2483,2358,2587,1275,574,4,0,526953.266,6815151.31,"427,3806715"
183,255,157,492,1911,2295,2370,2464,1034,459,4,0,526746.285,6814940.389,"202,6421326"
210,360,197,549,2175,2686,3108,2828,1223,539,4,0,526949.095,6814751.185,"984,1157506"
223,368,203,575,2185,2638,2854,2892,1320,583,4,0,527131.594,6814966.996,"444,7196666"
240,382,222,615,2503,3153,3256,3348,1478,645,4,0,527150.527,6815157.38,"496,500747"
171,285,156,553,2436,3122,3196,3380,1371,569,4,0,526745.426,6815151.559,"647,4404341"
178,332,176,463,1890,2173,2752,2567,989,429,4,0,526752.0,6814750.604,"719,0375088"
210,338,196,539,2039,2522,2636,2664,1313,597,4,0,527143.849,6814726.71,"397,8532673"
166,279,139,407,1354,1698,1808,1860,901,433,4,0,530859.188,6821555.774,"821,2628765"
163,283,144,447,1383,1650,1610,1819,849,407,4,0,530891.61,6821744.409,"914,6811355"
191,360,162,607,1981,2579,2792,2698,1146,501,4,0,530349.076,6821360.708,"170,0479673"
163,292,129,532,1809,2144,2066,2310,1026,479,4,0,530878.014,6821328.176,"706,3772902"
211,278,170,511,1791,2176,2072,2375,1028,484,4,0,514101.459,6820320.123,"312,2591806"
221,371,216,562,1449,1678,1834,1918,1028,511,4,0,513905.337,6820117.68,"669,0257136"
192,294,159,550,1666,1937,1990,2035,973,444,4,0,514104.026,6819917.038,"411,8895966"
211,371,192,614,2191,2662,2980,2913,1276,573,4,0,514307.609,6820103.155,"247,4640245"
231,358,210,568,1700,2159,2284,2394,957,446,4,0,514302.719,6820320.554,0
215,339,196,485,1368,1663,1716,1829,820,407,4,0,513911.554,6820317.362,"182,5902335"
227,379,181,581,1804,2115,2364,2296,989,448,4,0,513905.157,6819913.728,"505,2292207"
190,283,154,588,1733,2143,1976,2330,1096,513,4,0,514305.45,6819913.17,"150,9790045"
152,243,124,409,1274,1616,1698,1685,726,343,4,0,524826.807,6807659.167,"364,3154832"
197,319,181,473,1579,1919,2060,2062,980,484,4,0,524625.161,6807472.021,"562,3574742"
191,333,170,473,1667,2059,2292,2210,939,425,4,0,524825.861,6807251.833,"305,7324841"
172,273,133,458,1577,1861,1798,2116,900,403,4,0,525036.652,6807463.344,"831,7213179"
203,299,162,417,1425,1805,1918,1966,910,428,4,0,525026.607,6807661.937,"972,163246"
243,368,185,529,1976,2498,2784,2588,1096,510,4,0,524626.966,6807683.771,"687,1117402"
183,330,168,504,1825,2195,2272,2468,1056,481,4,0,525028.291,6807261.752,"511,4020602"
201,406,199,753,2895,3488,3626,3788,1625,699,4,0,529918.369,6816122.842,"229,6925375"
206,307,178,478,1621,1852,1846,1973,958,482,4,0,530116.843,6815920.13,"424,6284501"
200,333,164,525,1587,1854,1860,2019,937,452,4,0,530317.384,6816120.874,"481,1669419"
201,372,153,546,1864,2385,2702,2580,984,440,4,0,530319.694,6815920.981,"216,3639223"
232,344,208,550,1852,2260,2376,2460,1081,493,4,0,516129.357,6819426.038,"135,3306597"
240,374,180,650,2946,3833,3940,3984,1569,641,4,0,515929.97,6819214.657,"625,894472"
243,332,187,626,2382,3075,2758,3246,1397,615,4,0,516128.089,6819025.512,"953,6054101"
205,296,174,510,2046,2601,2540,2751,1232,533,4,0,516322.034,6819213.628,"493,3946686"
213,338,180,561,2333,3012,2986,3265,1369,560,4,0,516325.693,6819429.919,"515,5697098"
196,309,169,501,1750,2201,2222,2497,1016,440,4,0,515925.253,6819427.037,"308,0128961"
211,354,185,609,2526,3195,3374,3377,1372,569,4,0,515928.231,6819018.623,"444,8769364"
214,323,179,579,2439,3058,3090,3300,1400,590,4,0,516320.789,6819023.424,"817,8815758"
176,310,138,473,1471,1789,2166,1984,862,396,4,0,529909.283,6809924.416,"414,0913738"
222,375,183,643,2649,3429,3824,3726,1474,601,4,0,530295.633,6809878.737,"512,8174884"
186,334,163,575,2153,2763,2774,2982,1212,506,4,0,530281.498,6810069.041,"247,1494849"
144,260,127,487,1824,2223,1988,2400,877,389,4,0,529891.521,6810073.948,"391,6804278"
194,372,163,563,1947,2398,2698,2571,945,413,4,0,529901.418,6809626.282,"309,8214988"
179,302,142,548,2078,2691,2830,2918,1102,446,4,0,530287.602,6809668.976,"646,1036408"
255,580,232,973,2993,3542,3794,3703,1495,665,4,0,527401.132,6809001.737,0
182,319,173,507,1687,2178,2224,2284,976,439,4,0,527201.992,6808814.661,"417,8658489"
196,300,156,555,1991,2318,2316,2544,1059,497,4,0,527396.73,6808594.144,"268,3809074"
187,290,168,493,1860,2404,2408,2576,1071,481,4,0,527612.337,6808783.93,"685,1458677"
214,362,209,552,2026,2441,2546,2615,1307,606,4,0,527593.09,6809010.267,"327,1211764"
249,348,235,566,1825,2301,2264,2481,1196,559,4,0,527208.068,6808995.568,"277,7384603"
204,331,170,567,2162,2725,2698,2875,1149,508,4,0,527199.593,6808595.612,"556,5384918"
257,435,257,523,1780,2240,2490,2447,1103,525,4,0,527597.965,6808603.613,"256,9788472"
200,407,196,721,2430,3001,3348,3314,1508,663,4,0,526083.372,6815240.42,"79,57851695"
230,406,186,685,2734,3423,3776,3734,1485,629,4,0,526068.721,6814841.025,"85,35818196"
217,427,178,749,2826,3424,3652,3706,1462,617,4,0,526271.67,6815034.159,"30,15648345"
200,341,180,531,1931,2416,2866,2763,1058,445,4,0,526283.989,6815244.68,"443,0290163"
208,384,174,697,2622,3316,3488,3459,1501,622,4,0,526277.443,6814851.444,"43,91759063"
152,236,126,441,1416,1689,1654,1797,814,393,4,0,524887.153,6807150.561,"326,1775576"
175,245,129,435,1383,1621,1592,1744,762,353,4,0,524686.257,6806932.422,"834,00173"
198,278,148,455,1385,1729,1848,1859,855,421,4,0,524881.02,6806762.805,"629,3937249"
227,373,198,563,1982,2380,2558,2508,1103,505,4,0,525078.279,6807151.163,"486,4354801"
180,317,159,405,1257,1666,2106,1723,782,379,4,0,524685.959,6807142.023,"39,47471888"
206,297,190,495,1642,1960,2020,2079,1001,483,4,0,524691.255,6806771.511,"981,874656"
191,295,181,475,1665,2039,2194,1988,968,460,4,0,525060.939,6806774.433,"699,4574192"
200,324,178,532,1693,1984,2214,2258,1014,476,4,0,523290.049,6820309.854,"94,99095699"
235,312,183,487,1456,1794,1802,1902,874,420,4,0,523343.195,6806382.138,"515,3731226"
207,356,143,464,1757,1977,2292,2284,960,407,4,0,523938.228,6819397.357,"283,5574428"
216,371,189,540,1872,2231,2548,2420,1143,539,4,0,523095.57,6806285.095,"783,7147126"
235,375,210,611,1969,2490,2496,2595,1161,511,4,0,523359.952,6806192.964,"764,7243847"
182,304,178,510,1677,2046,2132,2207,995,462,4,0,527088.462,6822136.629,"446,6462216"
223,363,207,614,1685,2072,2112,2206,1125,564,4,0,523877.656,6809121.331,"232,6806637"
256,376,210,684,1725,2047,1948,2260,1118,560,4,0,512634.096,6816163.251,0
278,440,297,702,1663,1911,2084,2077,1118,576,4,0,512803.707,6816181.728,"183,9663443"
176,322,199,538,1475,1779,1862,1965,955,452,4,0,513146.06,6815132.226,"331,288826"
207,327,181,516,1456,1810,1954,1977,878,397,4,0,512603.653,6815942.302,"588,8967524"
249,414,212,640,1632,1901,1962,2059,1005,488,4,0,512777.873,6816032.436,"124,7935834"
214,344,192,551,1644,1949,2038,2138,951,436,4,0,512997.699,6815037.313,"167,4923331"
